name,cuisine
La Trattoria,Indonesian
El Sombrero,Korean
Tokyo Bites,Japanese
Bombay Spice,Turkish
Le Petit Paris,Vietnamese
Casa de Tapas,Malaysian
Bangkok Garden,Japanese
Istanbul Grill,Korean
Seoul Kitchen,British
Athens Taverna,American
Sakura Sushi,Italian
Olive Grove,British
Spice Junction,American
Café de Luna,Peruvian
Mamma Mia,Spanish
Casa Mexicana,Turkish
Taj Mahal Restaurant,Thai
Sushi Bar,Korean
The Royal Curry,British
Fiesta Mexicana,Indonesian
The Asian Table,German
Paris Bistro,Chinese
The Greek Corner,Malaysian
La Piccola Italia,French
Churrasco House,Japanese
The French Touch,Filipino
Istanbul Palace,Peruvian
Balkan Grill,Malaysian
Sushi Roll Express,Peruvian
Tapas & Co.,British
Bavarian Haus,Vietnamese
Café Bombay,Indonesian
The Greek Taverna,Greek
Dim Sum Delight,Vietnamese
Pasta Fresca,British
Bistro Noir,Malaysian
Café del Mar,Moroccan
The Mediterranean,Moroccan
Pasta e Basta,Japanese
Casa de los Tacos,Chinese
Fonda Mexicana,Korean
The Kebab House,Malaysian
Korean BBQ,Vietnamese
The Lobster Shack,Indonesian
Café Toulouse,French
Salsa & Salsa,Spanish
The Spice Bazaar,Italian
Biryani Hut,Peruvian
Szechuan Garden,Spanish
Lemon Tree Bistro,Italian
Saffron Palace,Korean
Ravioli Restaurant,Turkish
Café de Provence,Moroccan
Seafood Paradise,Moroccan
Fajitas Factory,Indonesian
La Trattoria,Spanish
El Sombrero,Spanish
Tokyo Bites,Italian
Bombay Spice,American
Le Petit Paris,Thai
Casa de Tapas,French
Bangkok Garden,Spanish
Istanbul Grill,Filipino
Seoul Kitchen,Italian
Athens Taverna,French
Sakura Sushi,Vietnamese
Olive Grove,British
Spice Junction,British
Café de Luna,Spanish
Mamma Mia,Peruvian
Casa Mexicana,Indian
Taj Mahal Restaurant,Mexican
Sushi Bar,Mexican
The Royal Curry,Middle Eastern
Fiesta Mexicana,German
The Asian Table,Indonesian
Paris Bistro,German
The Greek Corner,Peruvian
La Piccola Italia,Brazilian
Churrasco House,French
The French Touch,Chinese
Istanbul Palace,Vietnamese
Balkan Grill,Filipino
Sushi Roll Express,British
Tapas & Co.,British
Bavarian Haus,Greek
Café Bombay,German
The Greek Taverna,German
Dim Sum Delight,Middle Eastern
Pasta Fresca,Filipino
Bistro Noir,Mexican
Café del Mar,Korean
The Mediterranean,Mexican
Pasta e Basta,Thai
Casa de los Tacos,Turkish
Fonda Mexicana,Turkish
The Kebab House,Turkish
Korean BBQ,Peruvian
The Lobster Shack,Thai
Café Toulouse,Korean
