name,cuisine
Spaghetti Carbonara,Chinese
Tacos al Pastor,Turkish
Sushi Roll,Malaysian
Butter Chicken,Malaysian
Croissant,British
Paella,German
Beef Bourguignon,Indonesian
Tom Yum Soup,Japanese
Baklava,Korean
Kimchi Stew,Mexican
Moussaka,Mexican
Shawarma,German
Borscht,Filipino
Pad Thai,French
Peking Duck,German
Hamburger,Brazilian
Fish and Chips,Japanese
Pho,American
Arepas,Japanese
Churrasco,Spanish
Chicken Adobo,French
Ceviche,Japanese
Pierogi,Middle Eastern
Jollof Rice,Indonesian
Kebab,Indian
Lasagna,Chinese
Goulash,British
Empanadas,Indian
Fajitas,Mexican
Ratatouille,Middle Eastern
Okonomiyaki,German
Bibimbap,American
Sauerbraten,Middle Eastern
Couscous,American
Dolma,Indian
Dim Sum,Peruvian
Gumbo,Vietnamese
Cottage Pie,Malaysian
Tomato Bruschetta,Spanish
Massaman Curry,German
Falafel,Greek
Sancocho,German
Tagine,Thai
Schnitzel,Filipino
Chicken Parmesan,Greek
Clam Chowder,Middle Eastern
Pav Bhaji,Moroccan
Beef Rendang,Japanese
Laksa,Brazilian
Tandoori Chicken,French
Sushi,French
Ramen,Brazilian
Chicken Tikka Masala,British
Falafel,Mexican
Biryani,Mexican
Pasta Primavera,Middle Eastern
Lasagna,French
Pad See Ew,Spanish
Ratatouille,French
Mole,French
Banh Mi,Brazilian
Fried Rice,Indian
Hummus,Spanish
Steak Frites,Italian
Goulash,Japanese
Tomato Soup,Mexican
Sauerbraten,Brazilian
Cevapcici,Filipino
Gnocchi,Middle Eastern
Jambalaya,American
Spaghetti Carbonara,French
Tacos al Pastor,Japanese
Sushi Roll,Middle Eastern
Butter Chicken,German
Croissant,Middle Eastern
Paella,French
Beef Bourguignon,American
Tom Yum Soup,Greek
Baklava,Moroccan
Kimchi Stew,Indian
Moussaka,Mexican
Shawarma,Chinese
Borscht,Chinese
Pad Thai,Malaysian
Peking Duck,Brazilian
Hamburger,Spanish
Fish and Chips,Middle Eastern
Pho,Malaysian
Arepas,British
Churrasco,Filipino
Chicken Adobo,Greek
Ceviche,Mexican
Pierogi,Chinese
Jollof Rice,French
Kebab,Vietnamese
Lasagna,Filipino
Goulash,Malaysian
Empanadas,Filipino
Fajitas,Greek
Ratatouille,Italian
Okonomiyaki,Moroccan
Bibimbap,Turkish
Sauerbraten,British
Couscous,Korean
Dolma,Italian
Dim Sum,Italian
Gumbo,British
Cottage Pie,Chinese
Tomato Bruschetta,Spanish
Massaman Curry,Mexican
Falafel,Peruvian
Sancocho,Chinese
Tagine,Indian
Schnitzel,Brazilian
Chicken Parmesan,Malaysian
Clam Chowder,Italian
Pav Bhaji,Middle Eastern
Beef Rendang,Thai
Laksa,Filipino
Tandoori Chicken,Japanese
Sushi,Peruvian
Ramen,German
Chicken Tikka Masala,Mexican
Falafel,Brazilian
Biryani,Vietnamese
Pasta Primavera,Filipino
Lasagna,Indonesian
Pad See Ew,Vietnamese
Ratatouille,Moroccan
Mole,Vietnamese
Banh Mi,French
Fried Rice,Thai
Hummus,Mexican
Steak Frites,Turkish
Goulash,Middle Eastern
Tomato Soup,French
Sauerbraten,Moroccan
Cevapcici,Peruvian
Gnocchi,French
Jambalaya,American
Spaghetti Carbonara,Greek
Tacos al Pastor,Middle Eastern
Sushi Roll,Malaysian
Butter Chicken,Vietnamese
Croissant,Vietnamese
Paella,German
Beef Bourguignon,Indonesian
Tom Yum Soup,Malaysian
Baklava,Mexican
Kimchi Stew,Korean
Moussaka,German
Shawarma,Middle Eastern
Borscht,Italian
Pad Thai,Spanish
Peking Duck,Moroccan
Hamburger,Spanish
Fish and Chips,Japanese
Pho,Malaysian
Arepas,Japanese
Churrasco,British
Chicken Adobo,Japanese
Ceviche,Chinese
Pierogi,Mexican
Jollof Rice,Malaysian
Kebab,Italian
Lasagna,German
Goulash,Malaysian
Empanadas,German
Fajitas,Moroccan
Ratatouille,Moroccan
Okonomiyaki,Filipino
Bibimbap,Japanese
Sauerbraten,Peruvian
Couscous,Chinese
Dolma,Moroccan
Dim Sum,Thai
Gumbo,American
Cottage Pie,Malaysian
Tomato Bruschetta,Turkish
Massaman Curry,Vietnamese
Falafel,Indonesian
Sancocho,Indonesian
Tagine,Thai
Schnitzel,Indonesian
Chicken Parmesan,Indian
Clam Chowder,Korean
Pav Bhaji,Turkish
Beef Rendang,Chinese
Laksa,Malaysian
Tandoori Chicken,French
Sushi,Malaysian
Ramen,French
Chicken Tikka Masala,Italian
Falafel,Indian
Biryani,Filipino
Pasta Primavera,British
Lasagna,Greek
Pad See Ew,American
Ratatouille,Moroccan
Mole,Greek
Banh Mi,American
Fried Rice,Malaysian
Hummus,British
Steak Frites,French
Goulash,Peruvian
Tomato Soup,Mexican
Sauerbraten,Middle Eastern
Cevapcici,Greek
Gnocchi,Indian
Jambalaya,Turkish
Spaghetti Carbonara,Moroccan
Tacos al Pastor,Indian
Sushi Roll,Peruvian
Butter Chicken,Peruvian
Croissant,Brazilian
Paella,French
Beef Bourguignon,Greek
Tom Yum Soup,Indonesian
Baklava,Italian
Kimchi Stew,American
Moussaka,Indonesian
